Commit hash, Repository name, Author name, Filename, nloc, cyclomatic complexity, Num lines added, Num lines removed, Change type, Label
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,commons-dbcp,Mark Thomas,TesterUtils.java,13,2,38,0,ADD,PR
eee139828ddf33eb1937c4412d953eae43263fa4,commons-dbcp,Mark Thomas,BasicDataSource.java,920,213,26,1,MODIFY,NPR
eee139828ddf33eb1937c4412d953eae43263fa4,commons-dbcp,Mark Thomas,Utils.java,50,14,4,0,MODIFY,NPR
95793c7aab86868fc1ebb5ba177481a36d91450f,commons-dbcp,Mark Thomas,BasicDataSource.java,940,215,25,0,MODIFY,NPR
a127eaf6b81f3be06282e4b67692bacc020b8703,commons-dbcp,Mark Thomas,DelegatingConnection.java,795,161,1,1,MODIFY,PR
651283e071de6230356af058afe0c0b78e8cb8b6,commons-fileupload,Simone Tripodi,DiskFileItem.java,272,58,2,2,MODIFY,PR
7c9fc338dd2e205a098363d896d1de441d098990,commons-fileupload,Simone Tripodi,FileUploadBase.java,607,127,2,1,MODIFY,NPR
74520c6e4ec4d6ac36f8d939456acc2512085d94,commons-fileupload,Simone Tripodi,DiskFileItem.java,272,58,2,2,MODIFY,NPR
52d956afc2b7cefe48327dfa3aecdf3a6187c79f,commons-fileupload,Simone Tripodi,package-info.java,1,0,17,17,MODIFY,NPR
52d956afc2b7cefe48327dfa3aecdf3a6187c79f,commons-fileupload,Simone Tripodi,package-info.java,1,0,17,17,MODIFY,NPR
52d956afc2b7cefe48327dfa3aecdf3a6187c79f,commons-fileupload,Simone Tripodi,package-info.java,1,0,17,17,MODIFY,NPR
52d956afc2b7cefe48327dfa3aecdf3a6187c79f,commons-fileupload,Simone Tripodi,package-info.java,1,0,17,17,MODIFY,NPR
52d956afc2b7cefe48327dfa3aecdf3a6187c79f,commons-fileupload,Simone Tripodi,package-info.java,1,0,7,7,MODIFY,NPR
774ef160d591b579f703c694002e080f99bcd28b,commons-fileupload,Jochen Wiedmann,MultipartStream.java,405,93,6,6,MODIFY,PR
afdedc9580dde03287979607f9ce441b23b6bc90,commons-fileupload,Mark Thomas,MultipartStream.java,424,94,45,14,MODIFY,PR
7bb5d8862665e0cc60cee52d2b48ebbd7fca61fd,commons-compress,Stefan Bodewig,TarArchiveEntry.java,298,71,4,0,MODIFY,NPR
b6886eb41d060b9569bf101a017abdf89acb29f2,commons-compress,Jukka Zitting,ZipArchiveInputStream.java,268,65,48,11,MODIFY,NPR
7be979633a4ab427d820c591a1cb940c2721ba1a,commons-compress,Stefan Bodewig,ZipArchiveEntry.java,249,78,22,1,MODIFY,NPR
5b3d609df16bddf6b0ce85532214ca32b5676bfa,commons-compress,Stefan Bodewig,Lister.java,81,16,113,0,ADD,NPR
25b5956702a2d63da57ab2be32c47fff22391ddd,commons-compress,Stefan Bodewig,ZipArchiveEntry.java,250,78,2,1,MODIFY,NPR
ae0f984b0d20a9e1d9baff43e2cbeb73d1a767d4,commons-compress,Stefan Bodewig,ArchiveStreamFactory.java,110,25,27,10,MODIFY,NPR
ae0f984b0d20a9e1d9baff43e2cbeb73d1a767d4,commons-compress,Stefan Bodewig,ZipEncodingHelper.java,135,14,13,2,MODIFY,NPR
ae0f984b0d20a9e1d9baff43e2cbeb73d1a767d4,commons-compress,Stefan Bodewig,CompressorStreamFactory.java,78,18,13,5,MODIFY,NPR
ae0f984b0d20a9e1d9baff43e2cbeb73d1a767d4,commons-compress,Stefan Bodewig,BZip2Utils.java,39,10,3,2,MODIFY,NPR
ae0f984b0d20a9e1d9baff43e2cbeb73d1a767d4,commons-compress,Stefan Bodewig,GzipUtils.java,60,13,4,3,MODIFY,NPR
91695e47a11e0ca7eb09555ea5c06f711d117036,commons-compress,Stefan Bodewig,ZipArchiveEntry.java,293,89,97,17,MODIFY,NPR
